	 Sehr zufrieden	 Eher zufrieden	 Eher unzufrieden	 Ganz unzufrieden	 Weiss nicht / keine Angabe
2015 Total	152	551	401	80	202
2015 Schweiz	128	472	360	72	186
2015 Ausland	24	79	41	8	16
.
2011 Total	280	694	330	29	159
2011 Schweiz	232	590	289	23	145
2011 Ausland	48	104	41	6	14
..
2007 Total	170	744	278	23	259
2007 Schweiz	152	653	236	18	244
2007 Ausland	18	91	42	5	15
...
2005 Total	173	676	375	42	213
2005 Schweiz	145	578	319	35	196
2005 Ausland	28	98	56	7	17
....
2003 Total	186	601	342	49	274
2003 Schweiz	159	504	293	42	252
2003 Ausland	27	97	49	7	22
